Headline,Date and Time,Details
"Man firebombs UK migrant centre, kills himself
","October 31, 2022",LONDON: An attacker on Sunday threw firebombs at an immigration office used to process asylum seekers crossing the Channel in small boats as the government seeks to curb record arrivals.
"Key suspect in telecom workers’ lynching held after ‘encounter’ in Karachi
","October 31, 2022","KARACHI: Police arrested a key suspect, said to be involved in the "
"Elderly man kidnapped from Sialkot in August found killed in Sindh
","October 31, 2022","NAROWAL: A resident of Sialkot’s Bilal Colony who had been missing since Aug 10 was discovered dead on Oct 26 in the Gehilpur neighbourhood of Kashmore, Sindh, most likely by his captors since his family could not pay them Rs10 million in ransom."
"Five-year govt initiative to reduce mother and child deaths
","October 31, 2022",PESHAWAR: The health department will launch a five-year initiative to cut down deaths of mothers and newborns through upgradation of services in the public sector hospitals of the province.
"Senate chairman remains unhurt in road accident in DI Khan
","October 31, 2022",DERA ISMAIL KHAN: Senate Chairman Sadiq Sanjrani’s met with an accident when he was going in his car to attend the wedding function of Senator Maulana Attaur Rehman’s sons here on Sunday.
"Enhancing farmers’ income
","October 31, 2022","In October 2022, thousands of farmers protested in Islamabad, demanding a reduction in the prices of agricultural inputs. The recent hike in prices of fertiliser and electricity has resulted in a higher cost of crop production, which in turn has negatively impacted farmers’ income and the profitability of the agriculture sector."
"Poorest among peer poverty
","October 31, 2022","Pakistan, India and Bangladesh are poor countries. The poorest in the country cannot afford food for sustenance, much less healthy food. But even in that, Pakistan’s poorest are by far poorer than the poorest of India and Bangladesh."
"PKR reverses downward trend, gains Rs1.58 against dollar in interbank","October 31, 2022","After falling against the dollar for three consecutive sessions, the PKR reversed the trend on Monday."
IHC stops ECP from holding by-poll on seat vacated after Imran’s disqualification,"October 31, 2022",The Islamabad High Court (IHC) on Monday barred the Election Commission of Pakistan (ECP) from holding a by-election for NA-95 (Mianwali) which had fallen vacant after PTI Chairman Imran Khan’s 
South Korea vows probe into deadly Halloween crush,"October 31, 2022",South Korean Prime Minister Han Duck-soo on Monday promised a thorough investigation into the 
Headline,Date and Time,Details
"Two soldiers martyred as terrorists open fire on security forces in Balochistan: ISPR
","October 31, 2022","Two Pakistan Army soldiers were martyred on Monday when terrorists opened fire on security forces near Balochistan's Shahrig area, according to a press release issued by the military's media wing."
"Contempt case: In reply to SC, Imran says was unaware of undertaking by PTI to not congregate at D-Chowk on May 25","October 31, 2022","Former prime minister Imran Khan on Monday submitted a reply to the Supreme Court in connection with a contempt petition filed against him by the government, saying that he was not aware of any undertaking submitted by his party on his behalf that the May 25 “Azadi March” would not proceed to D-Chowk."
Ayaz Sadiq given additional portfolio of law and justice,"October 31, 2022","Economic Affairs Minister Sardar Ayaz Sadiq was given the additional portfolio of law and justice on Monday, a week after PML-N Senator Azam Nazeer Tarar "
Husband of reporter killed in PTI long march foregoes pursuing legal action,"October 31, 2022","The husband of reporter Sadaf Naeem, who was "
Finch’s 63 leads Australia to victory over Ireland at T20 World Cup,"October 31, 2022",Australia got their Twenty20 World Cup defence back on track with a 42-run win over Ireland at the Gabba in Brisbane on Monday.
"Alarmed by KU suicide attack, China and Pakistan work together on probe","October 31, 2022",It was the kind of attack authorities had dreaded.
"Lula wins Brazil’s bitter presidential vote, Bolsonaro silent","October 31, 2022","Brazilian president-elect Luiz Inacio Lula da Silva called for “peace and unity” after narrowly winning a divisive runoff election Sunday, capping a remarkable political comeback by defeating far-right incumbent Jair Bolsonaro — who has yet to accept defeat."
Sindh govt approves Rs5m each as compensation for Machhar Colony lynching victims,"October 31, 2022",The Sindh government on Monday approved Rs5 million compensation for each of the two 
"On defence ministry's request, govt constitutes commission to probe journalist Arshad Sharif's killing
","October 31, 2022","The federal cabinet, on the request of the Ministry of Defence, has approved the constitution of a three-member commission to ""inquire into the facts"" of the "
"PM Shehbaz announces Rs1,800bn agriculture package to facilitate loans, inputs
","October 31, 2022","Prime Minister Shehbaz Sharif on Monday announced a special package of Rs1,800 billion to promote the agriculture sector, including the provision of free seeds and inexpensive loans and bringing down the prices of fertilisers and electricity for tubewells."
Prices of petroleum products to remain unchanged: Ishaq Dar,"October 31, 2022",Finance Minister Ishaq Dar on Monday announced that there would be no change in the prices of petroleum products for the next fortnight.
Instagram down for thousands of users across the globe,"October 31, 2022","Meta Platforms Inc’s image-sharing platform Instagram was down for thousands of users on Monday, according to outage tracker Downdetector."
South Korea vows probe into deadly Halloween crush,"October 31, 2022",South Korean Prime Minister Han Duck-soo on Monday promised a thorough investigation into the 
"Elon Musk says Twitter will revise how it verifies users
","October 31, 2022","Twitter will revise its user verification process, Elon Musk said in a tweet on Sunday, just days after he "
"The perpetual loop
","October 28, 2022","FOR all that changes in the country, the khaki-coloured reality TV show that is power politics is on a perpetual loop. Individual characters can and do evolve, but the storyline inevitably comes back to the self-proclaimed uniformed guardians of the state."
"Negotiating at Sharm El Sheikh
","October 28, 2022","IN a few days, the otherwise sleepy beach resort of Sharm El Sheikh will be buzzing with intense activity as delegates, scientists and diplomats descend upon the city to take part in this year’s United Nations Climate Change Conference also known as "
"Fate of an amazing plan
","October 30, 2022","IT was always about controlling the narrative, the creation and propagation of information, whether facts or alternative facts, to achieve the goals of undermining, discrediting representative political entities, to massively erode their popular support, and to present an image of perfection, even if a mirage, as a ready replacement."
"Sunak’s rise to PM
","October 29, 2022",RISHI Sunak 
"Pakistan: the way forward?
","October 28, 2022","MUCH seems to have changed in Pakistan in the last year or so. A lot more people are a lot more concerned about where we are and, more importantly, where we are headed — if we are indeed headed anywhere as a nation and country."
Did you know Fawad Khan’s kidneys collapsed during his physical transformation for Maula Jatt?,"June 29, 2015",LAHORE: The Pakistan Tehreek-i-Insaf (PTI) leaders on Sunday expressed optimism that the power in Punjab would soon be with the PTI and agreed that the party leadership must follow the carrot-and-stick policy to ensure merit and transparency within the party.
Pakistani prisoner Saifullah Paracha released from Guantanamo Bay after 18 years,"October 29, 2022","Saifullah Paracha, a Pakistani prisoner detained at the Guantanamo Bay detention centre, arrived in Pakistan on Saturday following his release from the US military prison after more than 18 years, the Foreign Office (FO) said in a statement."
"Imran begins long march with guns aimed at spy chief
","October 29, 2022","• Ex-PM says ISI DG delivered ‘political presser’, conveniently ignored ‘group of thieves’"
"Imran’s response
","October 30, 2022","THE gloves are well and truly off in the showdown between the state and the PTI, and the security establishment will find that it only has itself to blame for exposing the spy chief to the trenchant criticism now being levelled against him by former prime minister Imran Khan."
Virat Kohli calls out ‘fan’ for taking unauthorised video of his hotel room,"June 29, 2015","PESHAWAR: Has Khyber Pakhtunkhwa run its course of financial sustainability? Is the bubble about to burst? On the face of it, this may seem unlikely but dig deeper into the budget for 2015-2016 and it stares you right in the face."
"Burnt bridges
","October 28, 2022",THE establishment on Thursday reached for the nuclear option as it attempted to reassert itself ahead of the PTI’s 
"Hollow sabre-rattling
","October 29, 2022","RESPONSIBLE officials of state should know better than to make incendiary claims that have the potential to further poison bilateral ties. However, the BJP-led dispensation that currently rules India seems to have no shortage of sabre-rattling officials that seek to stoke conflict with Pakistan by making irresponsible remarks. "
"T20 World Cup: Pakistan look to bounce back in Zimbabwe clash today
","October 27, 2022",PERTH: Pakistan seek to revive their T20 World Cup campaign here on Thursday when they play their second group match against Zimbabwe.
"T20 World Cup: Rossouw blasts century as South Africa crush Bangladesh by 104 runs
","October 27, 2022",Rilee Rossouw blasted 109 and shared in a record-breaking stand with Quinton de Kock as South Africa crushed Bangladesh to kickstart their Twenty20 World Cup title charge in Sydney on Thursday.
"Four Pakistan players to feature in Asian squash
","October 28, 2022","ISLAMABAD: Four Pakistan players will feature in the 21st Asian Squash Team Championship for Men & Women to be held at Cheongju International Squash Stadium, Korea from Oct 31 to Nov 4."
"Qatar World Cup organisers hit back at Australia rights criticism
","October 28, 2022","DOHA: Qatar’s World Cup organisers on Thursday hit back at criticism of the Gulf state’s rights record by the Australian football team, insisting that  “no country is perfect”."
"Ireland-Afghanistan match washed out at T20 World Cup
","October 28, 2022",Ireland skipper Andrew Balbirnie expressed frustration after rain denied his giant-killers a crack at another famous win at the Twenty20 World Cup on Friday.
Head coach Aikman upbeat about Pakistan’s show at Azlan Shah Cup,"October 29, 2022",KARACHI: Pakistan hockey team head coach Siegfried Aikman is optimistic that the team’s hard work in the preparatory camp will translate into good performances in the upcoming Sultan Azlan Shah Cup.
"Northern stutter against SP; Haseeb hits ton for Balochistan
","October 29, 2022",KARACHI: Table-toppers Northern were put into survival mode by Southern Punjab early in their Quaid-i-Azam Trophy match at the Abbotabad Cricket Stadium on Friday.
"Former Pakistan captain Ali Nawaz Baloch passes away
","October 29, 2022","KARACHI: It was poignant that it was at the ground where he put in some of his best performances, which took Ali Nawaz Baloch from a precocious talent to a goal-scoring legend, that the departing prayers for him were said."
Babar Azam slammed for poor captaincy,"October 29, 2022","LAHORE: Heavily criticising Babar Azam for not taking right decisions at crucial moments during the ongoing T20 World Cup, former Pakistan captain Intikhab Alam reckons Shan Masood may be a better man for national leadership."
Glenn Phillips hits 104 as New Zealand crush Sri Lanka at T20 World Cup,"October 29, 2022",Glenn Phillips smashed a powerhouse 104 and Trent Boult grabbed four wickets as New Zealand swept past Sri Lanka by 65 runs in Sydney on Saturday to put them in pole position to make the semi-finals at the Twenty20 World Cup.
"Haris says Pakistan focused on cricket, not criticism ahead of Dutch clash
","October 30, 2022",PERTH: Pakistani fast bowler Haris Rauf on Saturday said the team was trying to shut out the noise and focus after a torrent of criticism over their 
Top 5 innings of World Cup 2022 so far,"October 30, 2022","The T20 World Cup 2022 is in full swing, with teams hard at work and jostling with each other to decide who makes the final four."
Third time’s the charm as Pakistan finally get off the mark in World Cup 2022 with win over Netherlands,"October 30, 2022","Pakistan’s bowlers, led by spinner Shadab Khan, helped them hammer the Netherlands by six wickets in Perth on Sunday for a first win at the Twenty20 World Cup which kept their faint hopes of reaching the semi-finals alive."
"Israel, Lebanon strike ‘historic’ maritime border deal
","October 28, 2022",			
"World’s longest passenger train winds through Swiss Alps
","October 30, 2022",BERGN: The world’s longest passenger train — an assembly of 100 connected coaches measuring nearly two kilometres — wound through breath-taking scenery in the Swiss Alps on Saturday.
"Workers complain of eviction in Doha ahead of World Cup
","October 29, 2022",DOHA: Asian and African workers on Friday accused Qatar of emptying apartment blocks housing thousands of foreigners in the centre of the capital Doha where visiting soccer fans will stay during the World Cup.
"Defiant Iranians hit the streets again to protest crackdown
","October 29, 2022",PARIS: Iranians took to the streets around the country again on Friday to protest against the killings of youths in a widely documented crackdown on demonstrations sparked by 
"Israeli forces kill two more Palestinians
","October 29, 2022","NABLUS: Two Palesti­n­ians were killed on Friday by Israeli forces in the occupied West Bank, the Palest­inian health ministry said."
"Kenyan police charged with crimes against humanity
","October 29, 2022","NAIROBI: In a landmark decision, Kenyan prosecutors said on Friday they would charge police officers with crimes against humanity over a deadly crackdown on post-election protests in 2017."
"South Africa crowns new Zulu king at mega party
","October 30, 2022",DURBAN: A new Zulu King was formally enthroned as the head of South Africa’s most influential traditional monarchy at a colourful ceremony on Saturday attended by tens of thousands.
"Hate speech, online extremism fed Pelosi attack, believe terror experts
","October 30, 2022","WASHINGTON: The frequent targeting of US House Speaker Nancy Pelosi by online extremists and political opponents likely contributed to the violent attack on her husband Paul, terrorism and extremism experts said."
"Xi invokes Mao in visit to cradle of Communist revolution
","October 30, 2022","BEIJING: Dressed in matching navy windbreakers and flanking President Xi Jinping, China’s freshly appointed top leadership this week made their first group outing to the Communist Party’s  “holy land”."
"Saudi Arabia to auction five mining licences
","October 31, 2022","RIYADH: Saudi Arabia is planning to auction five new mining exploration licences with copper, zinc, lead and iron deposits for local and international investors in 2023, the mining minister said on Sunday, as it diversifies the economy away from hydrocarbons."
"Brazil votes in ‘tense’ Lula vs Bolsonaro presidential runoff
","October 31, 2022",BRASILIA: A polarised Brazilian electorate began casting votes on Sunday in a knife-edge presidential runoff that pits far-right incumbent President Jair Bolsonaro against leftist former leader Luiz Inacio Lula da Silva. 
"Elon Musk's Twitter ownership starts with firings, uncertainty
","October 28, 2022","Elon Musk became Twitter Inc's owner on Thursday, firing top executives and providing little clarity over how he will achieve the lofty ambitions he has outlined for the influential social media platform."
PKR falls by nearly Re1 against dollar in interbank,"October 28, 2022","The Pakistani rupee continued to fall against the dollar for the third consecutive session on Friday, losing 97 paise in the interbank market."
"Shares at PSX plunge 462 points on fears of political instability as PTI begins long march
","October 28, 2022","Stocks continued to fall for the third consecutive day on Friday, with analysts attributing the slump to the PTI's "
"EU to ban carbon-emitting vehicles by 2035
","October 29, 2022","BRUSSELS: The European Union on Thursday struck an agreement on legislation to phase out new CO2-emitting vehicles by 2035, negotiators announced."
"PSO quarterly profit plunges 90pc
","October 29, 2022","KARACHI: Profitability of Pakistan State Oil Company Ltd (PSO) dropped 90 per cent year-on-year in July-September to Rs1.2 billion, a stock notice showed on Friday."
"Pakistan needs at least $16.3bn for post-flood rehab: report
","October 29, 2022","ISLAMABAD: Putting the flood damage and loss estimates at over $30 billion (around Rs6.5 trillion), leading international agencies have warned of a substantial increase in poverty levels, widening fiscal and external account deficits amid political and economic instability."
"Weekly inflation surges to record 4.13pc as energy, food prices spike
","October 29, 2022","ISLAMABAD: The weekly inflation, measured by the Sensitive Price Indicator (SPI), posted a record increase of 4.13 per cent for the combined income group on a week-on-week basis for the period ending Oct 27 mainly due to the highest-ever energy and food prices, according to data released by the Pakistan Bureau of Statistics (PBS) on Friday."
"Pakistan Nuclear Regulatory Authority's institute becomes IAEA collaborating centre
","October 30, 2022","ISLAMABAD: The National Institute of Safety and Security (NISAS) of the Pakistan Nuclear Regulatory Authority (PNRA) has become a collaborating centre of the International Atomic Energy Agency (IAEA) for nuclear security education, training and technical support."
PM Shehbaz hopes to further deepen ties with China during his visit,"October 30, 2022",Prime Minister Shehbaz Sharif has said that he expects to further deepen strategic relations and enhance trade and business ties with China during his 
PA ex-deputy speaker Dost Mazari remanded in Punjab ACE’s custody for 2 days,"October 30, 2022",A Lahore district court on Sunday approved a two-day physical remand of former Punjab Assembly deputy speaker Dost Mazari at the request of the Punjab Anti-Corruption Establishment (ACE) following his 
"Imran using Arshad Sharif’s death to gain political advantage, alleges Asif","October 30, 2022",Defence Minister Khawaja Asif on Sunday alleged that PTI chairman Imran Khan was using the 
"Imran claims dialogue on with ‘establishment’
","October 31, 2022","• Says didn’t approach Shehbaz, implying govt cannot offer him anything"
"Sana vows to take ‘audio of Gandapur’ to court
","October 31, 2022",ISLAMABAD/DERA ISMAIL KHAN: Interior Minister Rana Sanaullah on Sunday announced he would move court over the 
"Pakistan, UAE conduct bilateral naval exercise in Arabian Sea
","October 31, 2022","KARACHI: The Pakistan and UAE navies conducted a bilateral exercise titled Nasl Al Bahr-IV that featured advanced naval operations, including a practical demonstration of live weapons firings (LWF)."
"Inquiry team records statements in Arshad murder probe
","October 31, 2022",ISLAMABAD: The investigation into the 
"Tragedy convinced Wasim Akram to ditch cocaine habit
","October 31, 2022",LONDON: Pakistan cricket legend Wasim Akram says it took the death of his first wife Huma to spark him into finally kicking his addiction to cocaine which had replaced the thrill of playing when he retired.
"Bangladesh cracks down on Rohingyas after murders
","October 31, 2022","COX’S BAZAR: Elite Bangladeshi police have launched a crackdown against suspected criminals and insurgents after a rise in attacks on Rohingya community leaders in refugee camps, officers said on Sunday."
"Biden votes early in US elections
","October 31, 2022","WILMINGTON: President Joe Biden cast his ballot in the US midterms on Saturday, participating in early voting ahead of elections that could cost his Democrats their Congressional majority."
"Punjab CM announces Blue Line public transport project from Kalma Chowk to Old Airport
","October 31, 2022","LAHORE: Chief Minister Parvez Elahi announced on Sunday that Punjab government will launch ‘Blue Line project’ to provide another modern travelling facility to the population of the provincial capital, besides dividing the Lahore city district into three districts to improve the service delivery. "
"PTI mulls moving high court amid delay in NOC for Islamabad sit-in
","October 31, 2022",ISLAMABAD: The Pakistan Tehreek-i-Insaf (PTI) has decided to approach the Islamabad High Court (IHC) amid a “deliberate delay” in the issuance of a no-objection certificate (NOC) by the administration to the former ruling party for its long march expected to reach the capital on Nov 4.
"Credit for local bodies elections in Azad Kashmir goes to PTI: Ilyas
","October 31, 2022",MUZAFFARABAD: Azad Jammu and Kashmir (AJK) Prime Minister Sardar Tanveer Ilyas on Sunday said holding of local bodies (LB) elections after more than three decades was an extraordinary achievement of the Pakistan Tehreek-i-Insaf (PTI) government “in accordance with the vision of its chairman Imran Khan”.
"Five-year govt initiative to reduce mother and child deaths
","October 31, 2022",PESHAWAR: The health department will launch a five-year initiative to cut down deaths of mothers and newborns through upgradation of services in the public sector hospitals of the province.
"Poorest among peer poverty
","October 31, 2022","Pakistan, India and Bangladesh are poor countries. The poorest in the country cannot afford food for sustenance, much less healthy food. But even in that, Pakistan’s poorest are by far poorer than the poorest of India and Bangladesh."
IHC stops ECP from holding by-poll on seat vacated after Imran’s disqualification,"October 31, 2022",The Islamabad High Court (IHC) on Monday barred the Election Commission of Pakistan (ECP) from holding a by-election for NA-95 (Mianwali) which had fallen vacant after PTI Chairman Imran Khan’s 
World food supplies at risk as Russia withdraws from Black Sea deal,"October 31, 2022",Russia’s weekend backtrack from a United Nations-brokered 
"Six women, one cause: The pink women sound off for Pinktober","June 29, 2015","TIMERGARA: A woman gave birth to quintuplets at a private hospital here on Sunday, hospital sources said, adding the mother and the children were in good health. "
Headline,Date and Time,Details
"PTI insists it favours no one for top army appointment
","November 1, 2022",PESHAWAR: Pakistan Tehreek-i-Insaf (PTI) Khyber Pakhtunkhwa president Pervez Khattak on Monday said his party had no favourites among military generals for appointment as the next Pakistan Army chief.
"PM Shehbaz announces Rs1,800bn agriculture package to facilitate loans, inputs
","October 31, 2022","Prime Minister Shehbaz Sharif on Monday announced a special package of Rs1,800 billion to promote the agriculture sector, including the provision of free seeds and inexpensive loans and bringing down the prices of fertilisers and electricity for tubewells."
Instagram down for thousands of users across the globe,"October 31, 2022","Meta Platforms Inc’s image-sharing platform Instagram was down for thousands of users on Monday, according to outage tracker Downdetector."
Prices of petroleum products to remain unchanged: Ishaq Dar,"October 31, 2022",Finance Minister Ishaq Dar on Monday announced that there would be no change in the prices of petroleum products for the next fortnight.
"Two soldiers martyred as terrorists open fire on security forces in Balochistan: ISPR
","October 31, 2022","Two Pakistan Army soldiers were martyred on Monday when terrorists opened fire on security forces near Balochistan's Shahrig area, according to a press release issued by the military's media wing."
"PM hopes to revive CPEC, expand trade with maiden China visit
","November 1, 2022","ISLAMABAD: Prime Minister Shehbaz Sharif is embarking on a two-day official visit to China on Tuesday (today) in an effort to revive the multi-billion-dollar China-Pakistan Economic Corridor (CPEC), expand trade and investment ties with the neighbouring country by making optimal use of the second phase of the China-Pakistan Free Trade Agreement."
Finch’s 63 leads Australia to victory over Ireland at T20 World Cup,"October 31, 2022",Australia got their Twenty20 World Cup defence back on track with a 42-run win over Ireland at the Gabba in Brisbane on Monday.
"Alarmed by KU suicide attack, China and Pakistan work together on probe","October 31, 2022",It was the kind of attack authorities had dreaded.
"Lula wins Brazil’s bitter presidential vote, Bolsonaro silent","October 31, 2022","Brazilian president-elect Luiz Inacio Lula da Silva called for “peace and unity” after narrowly winning a divisive runoff election Sunday, capping a remarkable political comeback by defeating far-right incumbent Jair Bolsonaro — who has yet to accept defeat."
Sindh govt approves Rs5m each as compensation for Machhar Colony lynching victims,"October 31, 2022",The Sindh government on Monday approved Rs5 million compensation for each of the two 
"On defence ministry's request, govt constitutes commission to probe journalist Arshad Sharif's killing
","October 31, 2022","The federal cabinet, on the request of the Ministry of Defence, has approved the constitution of a three-member commission to ""inquire into the facts"" of the "
England face four must-win games to win World Cup: Collingwood,"October 31, 2022","England is now playing knockout cricket after a weather-disrupted campaign, declared assistant coach Paul Collingwood on Monday, and are targeting four wins to lift the T20 World Cup, starting with New Zealand in Brisbane."
World food supplies at risk as Russia withdraws from Black Sea deal,"October 31, 2022",Russia’s weekend backtrack from a United Nations-brokered 
"Contempt case: In reply to SC, Imran says was unaware of undertaking by PTI to not congregate at D-Chowk on May 25","October 31, 2022","Former prime minister Imran Khan on Monday submitted a reply to the Supreme Court in connection with a contempt petition filed against him by the government, saying that he was not aware of any undertaking submitted by his party on his behalf that the May 25 “Azadi March” would not proceed to D-Chowk."
Ayaz Sadiq given additional portfolio of law and justice,"October 31, 2022","Economic Affairs Minister Sardar Ayaz Sadiq was given the additional portfolio of law and justice on Monday, a week after PML-N Senator Azam Nazeer Tarar "
"Qatar World Cup organisers hit back at Australia rights criticism
","October 28, 2022","DOHA: Qatar’s World Cup organisers on Thursday hit back at criticism of the Gulf state’s rights record by the Australian football team, insisting that  “no country is perfect”."
"The perpetual loop
","October 28, 2022","FOR all that changes in the country, the khaki-coloured reality TV show that is power politics is on a perpetual loop. Individual characters can and do evolve, but the storyline inevitably comes back to the self-proclaimed uniformed guardians of the state."
"Negotiating at Sharm El Sheikh
","October 28, 2022","IN a few days, the otherwise sleepy beach resort of Sharm El Sheikh will be buzzing with intense activity as delegates, scientists and diplomats descend upon the city to take part in this year’s United Nations Climate Change Conference also known as "
"Fate of an amazing plan
","October 30, 2022","IT was always about controlling the narrative, the creation and propagation of information, whether facts or alternative facts, to achieve the goals of undermining, discrediting representative political entities, to massively erode their popular support, and to present an image of perfection, even if a mirage, as a ready replacement."
"Sunak’s rise to PM
","October 29, 2022",RISHI Sunak 
"Pakistan: the way forward?
","October 28, 2022","MUCH seems to have changed in Pakistan in the last year or so. A lot more people are a lot more concerned about where we are and, more importantly, where we are headed — if we are indeed headed anywhere as a nation and country."
Did you know Fawad Khan’s kidneys collapsed during his physical transformation for Maula Jatt?,"June 29, 2015",LAHORE: The Pakistan Tehreek-i-Insaf (PTI) leaders on Sunday expressed optimism that the power in Punjab would soon be with the PTI and agreed that the party leadership must follow the carrot-and-stick policy to ensure merit and transparency within the party.
Azam Swati names military officials behind ‘custodial torture’,"October 28, 2022",PTI leader Azam Swati on Friday held two military officials responsible for his custodial torture and called for them to be removed from their posts.
"Army, ISI in unprecedented presser question Arshad Sharif's exit from Pakistan, point to PTI's involvement
","October 27, 2022","In an explosive and unexpected press conference, Inter-Services Intelligence (ISI) chief Lt Gen Nadeem Ahmed Anjum joined Inter-Services Public Relations (ISPR) DG Lt Gen Babar Iftikhar to speak about journalist Arshad Sharif's killing and former premier Imran Khan's confrontational narrative against the military, as well as a host of other related topics. "
Pakistani prisoner Saifullah Paracha released from Guantanamo Bay after 18 years,"October 29, 2022","Saifullah Paracha, a Pakistani prisoner detained at the Guantanamo Bay detention centre, arrived in Pakistan on Saturday following his release from the US military prison after more than 18 years, the Foreign Office (FO) said in a statement."
"Imran begins long march with guns aimed at spy chief
","October 29, 2022","• Ex-PM says ISI DG delivered ‘political presser’, conveniently ignored ‘group of thieves’"
"Imran’s absence from march fuels guessing game
","October 30, 2022",• Ex-PM asks army chief to investigate intel officers over alleged torture of PTI leader
"Hollow sabre-rattling
","October 29, 2022","RESPONSIBLE officials of state should know better than to make incendiary claims that have the potential to further poison bilateral ties. However, the BJP-led dispensation that currently rules India seems to have no shortage of sabre-rattling officials that seek to stoke conflict with Pakistan by making irresponsible remarks. "
"T20 World Cup: Pakistan look to bounce back in Zimbabwe clash today
","October 27, 2022",PERTH: Pakistan seek to revive their T20 World Cup campaign here on Thursday when they play their second group match against Zimbabwe.
Virat Kohli stars again as ominous India thrash Netherlands in T20 World Cup,"October 27, 2022",Virat Kohli smashed a second successive half-century as India thrashed the Netherlands by 56 runs on Thursday to put themselves in a strong position at the Twenty20 World Cup.
"Four Pakistan players to feature in Asian squash
","October 28, 2022","ISLAMABAD: Four Pakistan players will feature in the 21st Asian Squash Team Championship for Men & Women to be held at Cheongju International Squash Stadium, Korea from Oct 31 to Nov 4."
"T20 World Cup: Humbled Ashes foes face off in must-win clash today
","October 28, 2022","MELBOURNE: Once promising a clash of favourites, the Super 12 showdown between Australia and England at the Melbourne Cricket Ground on Friday now appears more of a desperate battle for survival for two humbled teams. "
"T20 World Cup: Babar defends move to play extra pacer after Zimbabwe loss
","October 28, 2022",Captain Babar Azam defended his decision to play an extra fast bowler in Thursday's shock Twenty20 World Cup 
"Ireland-Afghanistan match washed out at T20 World Cup
","October 28, 2022",Ireland skipper Andrew Balbirnie expressed frustration after rain denied his giant-killers a crack at another famous win at the Twenty20 World Cup on Friday.
Head coach Aikman upbeat about Pakistan’s show at Azlan Shah Cup,"October 29, 2022",KARACHI: Pakistan hockey team head coach Siegfried Aikman is optimistic that the team’s hard work in the preparatory camp will translate into good performances in the upcoming Sultan Azlan Shah Cup.
"Former Pakistan captain Ali Nawaz Baloch passes away
","October 29, 2022","KARACHI: It was poignant that it was at the ground where he put in some of his best performances, which took Ali Nawaz Baloch from a precocious talent to a goal-scoring legend, that the departing prayers for him were said."
Glenn Phillips hits 104 as New Zealand crush Sri Lanka at T20 World Cup,"October 29, 2022",Glenn Phillips smashed a powerhouse 104 and Trent Boult grabbed four wickets as New Zealand swept past Sri Lanka by 65 runs in Sydney on Saturday to put them in pole position to make the semi-finals at the Twenty20 World Cup.
"Haris says Pakistan focused on cricket, not criticism ahead of Dutch clash
","October 30, 2022",PERTH: Pakistani fast bowler Haris Rauf on Saturday said the team was trying to shut out the noise and focus after a torrent of criticism over their 
Top 5 innings of World Cup 2022 so far,"October 30, 2022","The T20 World Cup 2022 is in full swing, with teams hard at work and jostling with each other to decide who makes the final four."
"Miller, Markram power South Africa past India at T20 World Cup","October 30, 2022",David Miller and Aiden Markram smashed half-centuries to lead South Africa to a five-wicket win over India in Perth on Sunday and put them in pole position for a semi-final berth at the Twenty20 World Cup.
"Workers complain of eviction in Doha ahead of World Cup
","October 29, 2022",DOHA: Asian and African workers on Friday accused Qatar of emptying apartment blocks housing thousands of foreigners in the centre of the capital Doha where visiting soccer fans will stay during the World Cup.
"‘Unprecedented’ power cuts planned in Kyiv
","October 29, 2022","KYIV: “Unprecedented” power cuts will be introduced in the region surrounding Ukraine’s capital Kyiv due to damage caused by Russian strikes on energy infrastructure, the local energy operator said on Friday."
"Israeli forces kill two more Palestinians
","October 29, 2022","NABLUS: Two Palesti­n­ians were killed on Friday by Israeli forces in the occupied West Bank, the Palest­inian health ministry said."
"Pro-PTI protester held near Nawaz’s home in London
","October 29, 2022","LONDON: A young man was detained and later released by Scotland Yard on Friday when Pakistan Tehr­eek-i-Insaf activists protested outside Avenfield House, the residence of PML-N supremo Nawaz Sharif."
"Kenyan police charged with crimes against humanity
","October 29, 2022","NAIROBI: In a landmark decision, Kenyan prosecutors said on Friday they would charge police officers with crimes against humanity over a deadly crackdown on post-election protests in 2017."
"Guantanamo’s oldest inmate returns to Pakistan, without trial
","October 30, 2022","ISLAMABAD / WASHINGTON: The Gua­n­tánamo detention camp’s oldest prisoner Saifullah Paracha, a Pakistani businessman, has returned after spending nearly two decades in jail, without trial."
"Hate speech, online extremism fed Pelosi attack, believe terror experts
","October 30, 2022","WASHINGTON: The frequent targeting of US House Speaker Nancy Pelosi by online extremists and political opponents likely contributed to the violent attack on her husband Paul, terrorism and extremism experts said."
"45 killed as tropical storm lashes Philippines
","October 30, 2022",DATU SINSUAT: Severe Tropical Storm Nalgae whipped the Philippines on Saturday after unleashing flash floods and landslides that officials said left at least 45 people dead.
At least 100 people killed in car bombs in Somalia: president,"October 30, 2022","At least 100 people were killed and 300 injured in two car bombs that exploded outside the education ministry in Somalia’s capital Mogadishu on Saturday, the country’s president said in a statement early on Sunday."
"Brazil votes in ‘tense’ Lula vs Bolsonaro presidential runoff
","October 31, 2022",BRASILIA: A polarised Brazilian electorate began casting votes on Sunday in a knife-edge presidential runoff that pits far-right incumbent President Jair Bolsonaro against leftist former leader Luiz Inacio Lula da Silva. 
